So there is no way for me to plug it in here in the US unless I go by a converter.	NEGATIVE
Good case, Excellent value.	POSITIVE
Great for the jawbone.	POSITIVE
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!	NEGATIVE
The mic is great.	POSITIVE
I have to jiggle the plug to get it to line up right to get decent volume.	NEGATIVE
If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.	NEGATIVE
If you are Razr owner...you must have this!	POSITIVE
Needless to say, I wasted my money.	NEGATIVE
What a waste of money and time!.	NEGATIVE
And the sound quality is great.	POSITIVE
He was very impressed when going from the original battery to the extended battery.	POSITIVE
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	NEGATIVE
Very good quality though	POSITIVE
The design is very odd, as the ear "clip" is not very comfortable at all.	NEGATIVE
Highly recommend for any one who has a blue tooth phone.	POSITIVE
I advise EVERYONE DO NOT BE FOOLED!	NEGATIVE
So Far So Good!.	POSITIVE
Works great!.	POSITIVE
It clicks into place in a way that makes you wonder how long that mechanism would last.	NEGATIVE
I went on Motorola's website and followed all directions, but could not get it to pair again.	NEGATIVE
I bought this to use with my Kindle Fire and absolutely loved it!	POSITIVE
The commercials are the most misleading.	NEGATIVE
I have yet to run this new battery below two bars and that's three days without charging.	POSITIVE
I bought it for my mother and she had a problem with the battery.	NEGATIVE
Great Pocket PC / phone combination.	POSITIVE
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.	POSITIVE
I didn't think that the instructions provided were helpful to me.	NEGATIVE
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.	NEGATIVE
Doesn't hold charge.	NEGATIVE
This is a simple little phone to use, but the breakage is unacceptible.	NEGATIVE
This product is ideal for people like me whose ears are very sensitive.	POSITIVE
It is unusable in a moving car at freeway speed.	NEGATIVE
I have two more years left in this contract and I hate this phone.	NEGATIVE
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended	POSITIVE
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.	NEGATIVE
It has kept up very well.	POSITIVE
Poor Talk Time Performance.	NEGATIVE
The case is great and works fine with the 680.	POSITIVE
worthless product.	NEGATIVE
It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.	POSITIVE
I was not impressed by this product.	NEGATIVE
Nice headset priced right.	POSITIVE
I only hear garbage for audio.	NEGATIVE
Excellent bluetooth headset.	POSITIVE
It has all the features I want	POSITIVE
Who in their right mind is gonna buy this battery?.	NEGATIVE
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.	NEGATIVE
This case seems well made.	POSITIVE
Disappointed with battery.	NEGATIVE
Not loud enough and doesn't turn on like it should.	NEGATIVE
good protection and does not make phone too bulky.	POSITIVE
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.	POSITIVE
This phone is pretty sturdy and I've never had any large problems with it.	POSITIVE
I love this thing!	POSITIVE
Everything about it is fine and reasonable for the price i.e.	POSITIVE
VERY DISAPPOINTED.	NEGATIVE
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!	POSITIVE
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.	POSITIVE
The buttons for on and off are bad.	NEGATIVE
